"Name","Old School","New School"
"Ryan Lux","Eastern Michigan",""
"Narvin Booker","Mississippi Valley State",""
"Harris Williams","San Francisco",""
"Tyson Cooper","Penn State",""
"Stephen Hrustich*","Northwestern","Michigan"
"Coby Moe","Northwestern",""
"Ryan Gleason","Charleston Southern",""
"Tim Ewald","Houston Christian",""
"Peyton Miller","Pacific",""
"Franco Alonso","Cornell",""
"Seth Alexander","Mississippi Valley State",""
"Justin Tiger","Nevada",""
"Karl Ralamb","Coastal Carolina",""
"William Newby","Toledo",""
"Charles Hood","Nebraska",""
"Sam Burman","Hofstra",""
"Clay Holzworth","Butler",""
"Jonah Milchuck","Georgia Southern",""
"Ryan O'Halloran","Butler",""
"Jake Cooper","Penn State",""
"Nolan Tucker","Valparaiso",""
"Ben Winstead","Monmouth",""
"Nick Dipietrantonio","Princeton",""
"Mario Demera","San Francisco",""
"Dalton Aspholm","SE Louisiana",""
"Kaleb Woltz","San Francisco",""
"Will Asby","San Francisco",""
"George Stallings","Mississippi Valley State",""
"Albert Moore","Mississippi Valley State",""
"Chris Soeder","Mississippi Valley State",""
"Jaime Ramirez","Texas A&M Corpus Christi",""
"Jeremy Klick","St. Thomas",""
"Peter Hoffman","Fordham",""
"Ryan Mintz","Valparaiso",""
"Tony Dimola","Georgia Southern",""
"Kelly Austin*","UCLA","Florida"
"Anthony Roszko","Old Dominion",""
"Will Burgess","High Point",""
"Jake Rosenkranz","Valparaiso",""
"Azalius Lewis","Mississippi Valley State",""
"Braden Powell","George Mason",""
